substrate_id	discipline	decided_by	evidence
math_prog_f52923d794	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_f97d989e47	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_zh_a55c5ec7ac	数学	program_keyword	前缀math_zh: 书名
math_zh_edf801aadc	数学	program_keyword	前缀math_zh: 书名
micro_clean	经济学	program_keyword	前缀micro_clean: 书名
microecon_en_full_v2	经济学	program_keyword	前缀microecon_en_full_v2: 书名
misc_zh_008be64573	其他	human	仅1条KU'拓宽选择空间', 证据不足
misc_zh_0638af80e2	心理学	human	焦虑/快乐/心境和气质
misc_zh_0cf72c7691	心理学	human	付款痛苦/可变比率强化程式
misc_zh_19766a3109	经济学	human	庄园/公共牧场权/圈地=经济史
misc_zh_1f58acc541	经济学	human	财富的源泉/价值与效用/利润率=古典经济学
misc_zh_1fb5459d55	其他	human	创造性/价值/健康是对环境的超越, 信号太弱
misc_zh_277938b8b1	经济学	program_keyword	关键词命中: 需求, 供给, 经济, 效用, 增长
misc_zh_2a3b7ca23e	经济学	program_keyword	关键词命中: 税收, 货币
misc_zh_313cc48150	经济学	human	市場/投資/指標
misc_zh_397201e29d	数学	program_keyword	关键词命中: 概率, 函数, 微分
misc_zh_4c2fb83629	哲学	human	理性與道德的進步
misc_zh_57f4e4c020	其他	human	Dirac方程/Feynman图=物理, 受控集合无物理
misc_zh_621846bc00	数学	program_keyword	关键词命中: 映射, 微分
misc_zh_6244f6016b	心理学	program_keyword	关键词命中: 情绪
misc_zh_6d3cc1e0b3	其他	human	文化的根柢深不可測, 信号太弱
misc_zh_81d690213f	心理学	program_keyword	关键词命中: 心理学, 认知心理, 认知科学, 记忆, 知觉
misc_zh_83b514654d	心理学	human	幼鹅效应/锚定/社会规范=行为科学
misc_zh_85c1e848a6	其他	human	仅1条KU'同情', 证据不足
misc_zh_86c9a93811	数学	human	库拉托夫斯基十四集/哥德巴赫/若尔当曲线
misc_zh_948ef3fd08	经济学	program_keyword	关键词命中: 效用, 均衡, 福利
misc_zh_94fee0e2b8	经济学	human	同儕效應/觀察偏誤/實證資料=实证社科
misc_zh_9e6c02510d	哲学	program_keyword	关键词命中: 哲学, 道德, 认识论
misc_zh_a98b36503c	哲学	program_keyword	关键词命中: 哲学, 知识论, 伦理
misc_zh_ac39183282	数学	human	左右对称/自同构
misc_zh_b3607c6078	数学	program_keyword	关键词命中: 微积分, 积分, 拓扑, 导数, 极限, 定理, 微分, calculus
misc_zh_baa17c37b4	心理学	human	可变比率强化程式=操作性条件反射
misc_zh_c7b5caf706	心理学	human	意志力/诱惑与焦虑/行为反常
misc_zh_cc50696eb6	数学	program_keyword	关键词命中: 微积分, 积分, 级数, 概率, 函数, 定理, theorem, calculus
misc_zh_d374839971	数学	human	大魔群/哥德尔不完全性定理
misc_zh_d483906107	数学	program_keyword	关键词命中: 映射, 定理, 拓扑, 曲率, 导数, 微积分, 积分, 函数
misc_zh_d58b4eeff4	数学	program_keyword	关键词命中: 概率
misc_zh_dd9b0deb3d	经济学	program_keyword	关键词命中: 贸易
misc_zh_e286fcb474	经济学	human	债务的流通性/创造=货币史
misc_zh_e86fe0055b	数学	program_keyword	关键词命中: 概率, 分布, 函数, 定理
misc_zh_eca0adf94f	其他	human	通用生面团/玉米意大利面=食谱, 受控集合无对应
misc_zh_fdb9a50074	心理学	program_keyword	关键词命中: 心理学, 情绪
openstax_calculus_v1	数学	program_keyword	前缀openstax_calculus_v1: 书名
shida_mathanalysis_v5_vol1	数学	program_keyword	前缀shida_mathanalysis_v5_vol1: 师大数分
shufen_huadong_full	数学	program_keyword	前缀shufen_huadong_full: 华东师大数分
